299.548, 129.491, 5.514,  5.963 False
299.363, 129.497, 5.553,  5.996 False
299.177, 129.505, 5.610,  6.029 False
298.988, 129.517, 5.655,  6.062 False
298.798, 129.526, 5.717,  6.095 False
298.607, 129.538, 5.766,  6.128 False
298.413, 129.550, 5.817,  6.161 False
298.218, 129.558, 5.859,  6.194 False
298.022, 129.563, 5.900,  6.227 False
297.824, 129.568, 5.938,  6.260 False
297.626, 129.575, 5.969,  6.293 False
297.426, 129.586, 5.992,  6.326 False
297.227, 129.601, 6.006,  6.359 False
297.027, 129.619, 6.027,  6.392 False
296.826, 129.634, 6.054,  6.425 False
296.625, 129.650, 6.074,  6.458 False
296.422, 129.668, 6.095,  6.491 False
296.220, 129.689, 6.106,  6.524 False
296.017, 129.708, 6.128,  6.557 False
295.813, 129.730, 6.142,  6.590 False
295.609, 129.751, 6.164,  6.623 False
295.405, 129.776, 6.179,  6.656 False
295.200, 129.800, 6.203,  6.689 False
294.994, 129.827, 6.220,  6.722 False
294.788, 129.852, 6.247,  6.755 False
294.581, 129.881, 6.266,  6.788 False
294.373, 129.909, 6.296,  6.821 False
294.165, 129.940, 6.320,  6.854 False
293.955, 129.968, 6.350,  6.887 False
293.745, 130.000, 6.378,  6.920 False
293.534, 130.030, 6.411,  6.953 False
293.322, 130.064, 6.439,  6.986 False
293.109, 130.096, 6.473,  7.019 False
292.895, 130.131, 6.503,  7.052 False
292.680, 130.165, 6.538,  7.085 False
292.464, 130.202, 6.567,  7.118 False
292.247, 130.238, 6.601,  7.151 False
292.030, 130.277, 6.629,  7.184 False
291.811, 130.314, 6.661,  7.217 False
291.592, 130.355, 6.688,  7.250 False
291.372, 130.394, 6.718,  7.283 False
291.151, 130.435, 6.746,  7.316 False
290.929, 130.475, 6.774,  7.349 False
290.707, 130.517, 6.799,  7.382 False
290.483, 130.558, 6.826,  7.415 False
290.259, 130.601, 6.850,  7.448 False
290.034, 130.643, 6.876,  7.481 False
289.808, 130.687, 6.899,  7.514 False
289.582, 130.730, 6.925,  7.547 False
289.354, 130.772, 6.949,  7.580 False
289.125, 130.814, 6.975,  7.613 False
288.896, 130.855, 7.000,  7.646 False
288.666, 130.897, 7.025,  7.679 False
288.435, 130.938, 7.050,  7.712 False
288.203, 130.980, 7.076,  7.745 False
287.970, 131.020, 7.101,  7.778 False
287.736, 131.061, 7.128,  7.811 False
287.501, 131.101, 7.154,  7.844 False
287.265, 131.142, 7.181,  7.877 False
287.029, 131.182, 7.208,  7.910 False
286.791, 131.223, 7.236,  7.943 False
286.552, 131.262, 7.263,  7.976 False
286.313, 131.302, 7.291,  8.009 False
286.072, 131.341, 7.319,  8.042 False
285.831, 131.380, 7.347,  8.075 False
285.588, 131.419, 7.374,  8.108 False
285.345, 131.458, 7.403,  8.141 False
285.100, 131.496, 7.429,  8.174 False
284.855, 131.535, 7.457,  8.207 False
284.608, 131.571, 7.483,  8.240 False
284.361, 131.610, 7.511,  8.273 False
284.113, 131.646, 7.536,  8.306 False
283.864, 131.683, 7.564,  8.339 False
283.613, 131.719, 7.589,  8.372 False
283.363, 131.756, 7.616,  8.405 False
283.110, 131.790, 7.641,  8.438 False
282.858, 131.826, 7.669,  8.471 False
282.604, 131.859, 7.688,  8.504 False
282.348, 131.886, 7.707,  8.537 False
282.092, 131.909, 7.719,  8.570 False
281.835, 131.935, 7.751,  8.603 False
281.577, 131.958, 7.776,  8.636 False
281.319, 131.983, 7.808,  8.669 False
281.059, 132.003, 7.830,  8.702 False
280.798, 132.024, 7.864,  8.735 False
280.535, 132.040, 7.885,  8.768 False
280.272, 132.058, 7.920,  8.801 False
280.008, 132.072, 7.943,  8.834 False
279.743, 132.087, 7.977,  8.867 False
279.477, 132.097, 8.000,  8.900 False
279.209, 132.109, 8.034,  8.933 False
278.941, 132.116, 8.057,  8.966 False
278.672, 132.125, 8.092,  8.999 False
278.402, 132.129, 8.114,  9.032 False
278.130, 132.133, 8.148,  9.065 False
277.858, 132.132, 8.166,  9.098 False
277.585, 132.132, 8.200,  9.131 False
277.312, 132.128, 8.221,  9.164 False
277.037, 132.125, 8.250,  9.197 False
276.762, 132.117, 8.265,  9.230 False
276.486, 132.111, 8.289,  9.263 False
276.210, 132.100, 8.300,  9.296 False
275.933, 132.089, 8.319,  9.329 False
275.656, 132.075, 8.324,  9.362 False
275.379, 132.061, 8.337,  9.395 False
275.102, 132.043, 8.339,  9.428 False
274.824, 132.028, 8.345,  9.461 False
274.547, 132.009, 8.343,  9.494 False
274.270, 131.991, 8.345,  9.527 False
273.993, 131.968, 8.338,  9.560 False
273.716, 131.947, 8.337,  9.593 False
273.439, 131.923, 8.328,  9.626 False
273.163, 131.900, 8.325,  9.659 False
272.887, 131.873, 8.315,  9.692 False
272.612, 131.847, 8.311,  9.725 False
272.336, 131.819, 8.303,  9.758 False
272.061, 131.793, 8.299,  9.791 False
271.786, 131.764, 8.291,  9.824 False
271.512, 131.736, 8.287,  9.857 False
271.237, 131.706, 8.283,  9.890 False
270.963, 131.677, 8.280,  9.923 False
270.688, 131.647, 8.277,  9.956 False
270.414, 131.617, 8.276,  9.989 False
270.140, 131.586, 8.274, 10.022 False
269.866, 131.555, 8.274, 10.055 False
269.592, 131.522, 8.272, 10.088 False
269.318, 131.490, 8.274, 10.121 False
269.045, 131.457, 8.275, 10.154 False
268.770, 131.426, 8.277, 10.187 False
268.496, 131.394, 8.279, 10.220 False
268.222, 131.361, 8.281, 10.253 False
267.948, 131.328, 8.283, 10.286 False
267.674, 131.296, 8.286, 10.319 False
267.400, 131.263, 8.288, 10.352 False
267.125, 131.230, 8.290, 10.385 False
266.851, 131.197, 8.292, 10.418 False
266.576, 131.164, 8.293, 10.451 False
266.302, 131.131, 8.295, 10.484 False
266.027, 131.098, 8.296, 10.517 False
265.753, 131.065, 8.297, 10.550 False
265.478, 131.033, 8.297, 10.583 False
265.203, 131.000, 8.298, 10.616 False
264.929, 130.968, 8.298, 10.649 False
264.654, 130.936, 8.298, 10.682 False
264.379, 130.904, 8.297, 10.715 False
264.104, 130.872, 8.297, 10.748 False
263.830, 130.840, 8.297, 10.781 False
263.555, 130.808, 8.296, 10.814 False
263.280, 130.777, 8.296, 10.847 False
263.006, 130.746, 8.295, 10.880 False
262.731, 130.715, 8.294, 10.913 False
262.456, 130.685, 8.294, 10.946 False
262.181, 130.654, 8.293, 10.979 False
261.906, 130.625, 8.293, 11.012 False
261.632, 130.595, 8.292, 11.045 False
261.357, 130.566, 8.292, 11.078 False
261.082, 130.536, 8.292, 11.111 False
260.807, 130.508, 8.292, 11.144 False
260.532, 130.479, 8.292, 11.177 False
260.257, 130.451, 8.292, 11.210 False
259.982, 130.422, 8.292, 11.243 False
259.707, 130.395, 8.292, 11.276 False
259.432, 130.368, 8.292, 11.309 False
259.157, 130.342, 8.292, 11.342 False
258.882, 130.315, 8.293, 11.375 False
258.607, 130.289, 8.293, 11.408 False
258.331, 130.263, 8.294, 11.441 False
258.056, 130.238, 8.294, 11.474 False
257.781, 130.212, 8.294, 11.507 False
257.505, 130.188, 8.294, 11.540 False
257.230, 130.163, 8.295, 11.573 False
256.954, 130.140, 8.295, 11.606 False
256.679, 130.116, 8.296, 11.639 False
256.403, 130.093, 8.295, 11.672 False
256.128, 130.070, 8.296, 11.705 False
255.852, 130.048, 8.296, 11.738 False
255.577, 130.026, 8.296, 11.771 False
255.301, 130.005, 8.296, 11.804 False
255.025, 129.983, 8.296, 11.837 False
254.749, 129.963, 8.296, 11.870 False
254.474, 129.942, 8.297, 11.903 False
254.198, 129.923, 8.296, 11.936 False
253.922, 129.902, 8.297, 11.969 False
253.646, 129.884, 8.297, 12.002 False
253.370, 129.864, 8.297, 12.035 False
253.094, 129.846, 8.297, 12.068 False
252.818, 129.828, 8.297, 12.101 False
252.542, 129.811, 8.297, 12.134 False
252.266, 129.793, 8.297, 12.167 False
251.990, 129.777, 8.297, 12.200 False
251.714, 129.760, 8.297, 12.233 False
251.438, 129.744, 8.297, 12.266 False
251.162, 129.728, 8.298, 12.299 False
250.885, 129.713, 8.297, 12.332 False
250.609, 129.697, 8.298, 12.365 False
250.333, 129.683, 8.298, 12.398 False
250.057, 129.668, 8.298, 12.431 False
249.781, 129.655, 8.298, 12.464 False
249.504, 129.641, 8.298, 12.497 False
249.228, 129.628, 8.298, 12.530 False
248.952, 129.615, 8.299, 12.563 False
248.675, 129.603, 8.298, 12.596 False
248.399, 129.590, 8.299, 12.629 False
248.123, 129.579, 8.299, 12.662 False
247.846, 129.567, 8.299, 12.695 False
247.570, 129.557, 8.299, 12.728 False
247.293, 129.545, 8.299, 12.761 False
247.017, 129.536, 8.299, 12.794 False
246.741, 129.525, 8.300, 12.827 False
246.464, 129.516, 8.299, 12.860 False
246.188, 129.506, 8.300, 12.893 False
245.911, 129.497, 8.300, 12.926 False
245.635, 129.488, 8.300, 12.959 False
245.358, 129.480, 8.300, 12.992 False
245.081, 129.471, 8.300, 13.025 False
244.805, 129.463, 8.300, 13.058 False
244.528, 129.455, 8.301, 13.091 False
244.252, 129.448, 8.300, 13.124 False
243.975, 129.441, 8.301, 13.157 False
243.698, 129.434, 8.301, 13.190 False
243.422, 129.427, 8.301, 13.223 False
243.145, 129.421, 8.301, 13.256 False
242.869, 129.415, 8.301, 13.289 False
242.592, 129.409, 8.301, 13.322 False
242.315, 129.403, 8.301, 13.355 False
242.039, 129.399, 8.301, 13.388 False
241.762, 129.393, 8.302, 13.421 False
241.485, 129.389, 8.302, 13.454 False
241.209, 129.384, 8.302, 13.487 False
240.932, 129.380, 8.302, 13.520 False
240.655, 129.375, 8.302, 13.553 False
240.378, 129.372, 8.302, 13.586 False
240.102, 129.368, 8.302, 13.619 False
239.825, 129.364, 8.302, 13.652 False
239.548, 129.361, 8.302, 13.685 False
239.272, 129.358, 8.302, 13.718 False
238.995, 129.355, 8.303, 13.751 False
238.718, 129.352, 8.303, 13.784 False
238.441, 129.349, 8.303, 13.817 False
238.165, 129.347, 8.303, 13.850 False
237.888, 129.345, 8.303, 13.883 False
237.611, 129.343, 8.303, 13.916 False
237.334, 129.341, 8.303, 13.949 False
237.058, 129.339, 8.303, 13.982 False
236.781, 129.337, 8.303, 14.015 False
236.504, 129.336, 8.303, 14.048 False
236.227, 129.335, 8.304, 14.081 False
235.950, 129.334, 8.304, 14.114 False
235.674, 129.333, 8.304, 14.147 False
235.397, 129.332, 8.304, 14.180 False
235.120, 129.331, 8.304, 14.213 False
234.843, 129.331, 8.304, 14.246 False
234.566, 129.330, 8.304, 14.279 False
234.290, 129.330, 8.304, 14.312 False
234.013, 129.329, 8.304, 14.345 False
233.736, 129.329, 8.304, 14.378 False
233.459, 129.329, 8.305, 14.411 False
233.182, 129.330, 8.305, 14.444 False
232.906, 129.329, 8.305, 14.477 False
232.629, 129.330, 8.305, 14.510 False
232.352, 129.330, 8.305, 14.543 False
232.075, 129.331, 8.305, 14.576 False
231.798, 129.331, 8.305, 14.609 False
231.521, 129.332, 8.305, 14.642 False
231.245, 129.333, 8.305, 14.675 False
230.968, 129.334, 8.305, 14.708 False
230.691, 129.334, 8.305, 14.741 False
230.414, 129.335, 8.305, 14.774 False
230.137, 129.336, 8.306, 14.807 False
229.860, 129.337, 8.306, 14.840 False
229.583, 129.338, 8.306, 14.873 False
229.307, 129.340, 8.306, 14.906 False
229.030, 129.341, 8.306, 14.939 False
228.753, 129.342, 8.306, 14.972 False
228.476, 129.344, 8.306, 15.005 False
228.199, 129.345, 8.306, 15.038 False
227.922, 129.346, 8.306, 15.071 False
227.645, 129.348, 8.306, 15.104 False
227.368, 129.349, 8.306, 15.137 False
227.092, 129.351, 8.306, 15.170 False
226.815, 129.353, 8.307, 15.203 False
226.538, 129.354, 8.307, 15.236 False
226.261, 129.356, 8.307, 15.269 False
225.984, 129.358, 8.307, 15.302 False
225.707, 129.359, 8.307, 15.335 False
225.430, 129.361, 8.307, 15.368 False
225.153, 129.363, 8.307, 15.401 False
224.877, 129.365, 8.307, 15.434 False
224.600, 129.367, 8.307, 15.467 False
224.323, 129.368, 8.307, 15.500 False
224.046, 129.370, 8.307, 15.533 False
223.769, 129.372, 8.307, 15.566 False
223.492, 129.374, 8.307, 15.599 False
223.215, 129.376, 8.308, 15.632 False
222.938, 129.378, 8.308, 15.665 False
222.661, 129.380, 8.308, 15.698 False
222.384, 129.382, 8.308, 15.731 False
222.107, 129.383, 8.308, 15.764 False
221.830, 129.385, 8.308, 15.797 False
221.554, 129.387, 8.308, 15.830 False
221.277, 129.389, 8.308, 15.863 False
221.000, 129.391, 8.308, 15.896 False
220.723, 129.393, 8.308, 15.929 False
220.446, 129.395, 8.308, 15.962 False
220.169, 129.397, 8.308, 15.995 False
219.892, 129.399, 8.309, 16.028 False
219.615, 129.401, 8.309, 16.061 False
219.338, 129.403, 8.309, 16.094 False
219.061, 129.405, 8.309, 16.127 False
218.784, 129.406, 8.309, 16.160 False
218.507, 129.408, 8.309, 16.193 False
218.230, 129.410, 8.309, 16.226 False
217.953, 129.412, 8.309, 16.259 False
217.676, 129.414, 8.309, 16.292 False
217.399, 129.416, 8.309, 16.325 False
217.122, 129.418, 8.309, 16.358 False
216.845, 129.419, 8.309, 16.391 False
216.568, 129.421, 8.309, 16.424 False
216.291, 129.423, 8.309, 16.457 False
216.014, 129.425, 8.310, 16.490 False
